row_id,arm,supervision,scene,n_px_scored,n_anom,roc_auc,pr_auc,precision,recall,f1,status,note
classical_svc,classical_svc,supervised,ang20171012t194435_32,456,56,0.5574999999999994,0.2683477167433338,0.013671875000000003,1.0,0.026974951830443166,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_33,469,69,0.5645652173913048,0.2496383248318717,0.016845703125,1.0,0.033133253301320525,ok,
classical_svc,classical_svc,supervised,ang20171012t194435_35,429,29,0.7051724137931035,0.24522786396238824,0.0074694477051731704,1.0,0.014828137413372038,ok,
classical_svc,classical_svc,supervised,ang20191004t185054_22,446,46,0.7308695652173935,0.017738270926003098,0.013548299688389106,1.0,0.026734393797620635,ok,
classical_svc,classical_svc,supervised,ang20191004t185054_23,412,12,0.9800000000000001,0.6504896939426531,0.015229199451748814,1.0,0.03000150007500374,ok,
classical_svc,classical_svc,supervised,ang20191004t185054_24,453,53,0.8826886792452833,0.4853409534706464,0.021560733064924203,0.9245283018867925,0.042138756906671244,ok,
classical_svc,classical_svc,supervised,ang20191004t185054_25,440,40,0.8778124999999998,0.4039836112497712,0.010743196943124934,0.925,0.02123971022146703,ok,
classical_svc,classical_svc,supervised,ang20191004t185054_26,439,39,0.8187179487179486,0.3182785420820305,0.0117777117512119,0.8461538461538461,0.023232053898365045,ok,
classical_svc,classical_svc,supervised,ang20191004t185054_27,651,251,0.8100996015936265,0.31882790276799655,0.07844667994323039,0.8247011952191236,0.1432657319788839,ok,
classical_svc,classical_svc,supervised,ang20191004t215336_11,435,35,0.9857857142857144,0.8332358150454018,0.04569309903652836,1.0,0.08739294364403603,ok,
classical_svc,classical_svc,supervised,ang20191004t215336_12,430,30,0.9329166666666664,0.1499582886435328,0.010006070349345272,1.0,0.019813881605452787,ok,
classical_svc,classical_svc,supervised,ang20191004t215336_13,445,45,0.9748333333333334,0.7601258693811643,0.03987090686377661,1.0,0.07668433956677607,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_32,470,70,0.9675357142857142,0.7990797537010406,0.012339150361360832,1.0,0.02437750304718788,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_33,418,18,0.9997222222222222,0.9598234517546453,0.1500625260525219,1.0,0.2609641174338529,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_34,417,17,0.9995588235294118,0.9450206782884456,0.019235393123346958,1.0,0.0377447511205473,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_35,426,26,0.9396153846153851,0.05296357829449314,0.034872367136281224,0.9615384615384616,0.06730380939561181,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_36,441,41,0.9739634146341462,0.7359322613100202,0.06558539395550828,0.9024390243902439,0.12228373130628768,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_37,417,17,0.9810294117647058,0.15901016335148116,0.01048748288072647,1.0,0.020757274203592222,ok,
classical_svc,classical_svc,supervised,ang20210614t141018_38,408,8,0.6946874999999976,0.0016835301265531771,0.0013252698028440293,0.75,0.002645864293620381,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_23,474,74,0.8865540540540539,0.7478024752494866,0.015102040816326531,1.0,0.029754724567752314,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_24,411,11,0.9611363636363639,0.4117491932497951,0.0026855468749999996,1.0,0.005356708059410761,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_25,452,52,1.0,1.0000000000000002,0.0126953125,1.0,0.02507232401157184,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_26,414,14,0.9967857142857143,0.8461470483326461,0.00341796875,1.0,0.006812652068126521,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_27,427,27,0.9873148148148149,0.828924728243769,0.006591796875,1.0,0.01309725927722532,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_28,443,43,0.83389534883721,0.5377530808699102,0.010498046875000002,1.0,0.020777965692196185,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_29,458,58,0.8554310344827575,0.6493642354771697,0.01416015625,1.0,0.027924891670678863,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_30,424,24,0.8874999999999994,0.6006715771414378,0.005859374999999999,1.0,0.011650485436893203,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_31,434,34,0.7869117647058834,0.5488636749183201,0.00830078125,1.0,0.01646489104116223,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_32,456,56,0.9368303571428569,0.737077807983055,0.013671875000000003,1.0,0.026974951830443166,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_33,469,69,0.9073188405797107,0.6526665035382837,0.016845703125,1.0,0.033133253301320525,ok,
rx_8feat,rx_8feat,unsupervised,ang20171012t194435_35,429,29,0.6142241379310345,0.5210670737539856,0.007080078124999998,1.0,0.014060606060606056,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t185054_22,446,46,0.0117391304347827,0.004858007794463959,0.009387755102040816,1.0,0.018600889607763852,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t185054_23,412,12,0.008541666666666652,0.001591976296494988,0.0029296874999999987,1.0,0.005842259006815966,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t185054_24,453,53,0.8929716981132078,0.7482803657401692,0.012939453125,1.0,0.02554832489756568,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t185054_25,440,40,0.5509374999999992,0.2532720679013842,0.009765625,1.0,0.019342359767891684,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t185054_26,439,39,0.4851923076923068,0.03494072852706346,0.009521484375,1.0,0.018863361547763,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t185054_27,651,251,0.8679681274900405,0.767673067683256,0.04462222222222222,1.0,0.08543226684819606,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t215336_11,435,35,0.3766428571428578,0.2634873403907632,0.008544921874999998,1.0,0.016945049624788183,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t215336_12,430,30,0.13083333333333327,0.0040579955192679516,0.007324218750000003,1.0,0.014541929229277757,ok,
rx_8feat,rx_8feat,unsupervised,ang20191004t215336_13,445,45,0.6054444444444446,0.4038670413691592,0.010986328125,1.0,0.021733880705143684,ok,
rx_8feat,rx_8feat,unsupervised,ang20210614t141018_32,470,70,0.9786428571428569,0.6447067317164036,0.0100488084984209,1.0,0.0198976691301876,ok,
rx_8feat,rx_8feat,unsupervised,ang20210614t141018_33,418,18,0.9998611111111111,0.9799117258773227,0.004394531250000001,1.0,0.008750607681088967,ok,
rx_8feat,rx_8feat,unsupervised,ang20210614t141018_34,417,17,0.9789705882352944,0.8364328756663264,0.004150390624999999,1.0,0.008266472161439336,ok,
rx_8feat,rx_8feat,unsupervised,ang20210614t141018_35,426,26,0.8480769230769245,0.3347387891064597,0.006347656250000002,1.0,0.012615235322658907,ok,
