scene,dataset,detector,standardized,n_px,n_anom,anom_frac,roc_auc,pr_auc,precision,recall,f1,runtime_s,peak_rss_mb,components,status,note
ang20170821t183707_103,had100,kernel_rx,True,4096,11,0.002685546875,0.9997997106932235,0.9385614385614386,0.7857142857142857,1.0,0.88,1.1793334460016922,169.712463,,ok,
ang20170821t183707_103,had100,crd,True,4096,11,0.002685546875,0.9921664626682987,0.6623072491893341,0.05527638190954774,1.0,0.10476190476190478,28.01463542300189,866.106491,,ok,
ang20170821t183707_103,had100,fused,True,4096,11,0.002685546875,0.9615221987315011,0.5713929999808338,0.00900163666121113,1.0,0.017842660178426603,0.8751221290003741,60.093028,ace+index+rx+spatial,ok,
ang20170821t183707_104,had100,global_rx,True,4096,33,0.008056640625,0.9980533864363547,0.8533109567007604,0.4647887323943662,1.0,0.6346153846153846,0.21874301199568436,60.082854,,ok,
ang20170821t183707_104,had100,local_rx,True,4096,33,0.008056640625,0.9747014819621268,0.7687854736276594,0.012547528517110267,1.0,0.024784078107397675,0.28725023600418353,35.53952,,ok,
ang20170821t183707_104,had100,kernel_rx,True,4096,33,0.008056640625,0.9709797954937015,0.5668667882780011,0.021653543307086614,1.0,0.04238921001926783,1.1488598400028422,169.712419,,ok,
ang20170821t183707_104,had100,crd,True,4096,33,0.008056640625,0.9582634118691219,0.46880306934577487,0.029049295774647887,1.0,0.056458511548331904,28.674937592004426,866.106491,,ok,
ang20170821t183707_104,had100,fused,True,4096,33,0.008056640625,0.9821597714780093,0.8388700166618411,0.016725798276735936,1.0,0.03290129611166501,0.9100390149978921,60.09312,ace+index+rx+spatial,ok,
ang20170821t183707_105,had100,global_rx,True,4096,27,0.006591796875,0.9947935155602887,0.7904716795482206,0.12385321100917432,1.0,0.22040816326530613,0.16021882800123421,60.082854,,ok,
ang20170821t183707_105,had100,local_rx,True,4096,27,0.006591796875,0.9453592201196035,0.5681637259156428,0.009952082565425728,1.0,0.01970802919708029,0.22525538499758113,35.539566,,ok,
ang20170821t183707_105,had100,kernel_rx,True,4096,27,0.006591796875,0.9864922676424275,0.7927872931095621,0.035526315789473684,1.0,0.06861499364675985,1.073359097004868,169.712417,,ok,
